source_ref,source_area,decision,severity,reason,target_path
src_12d8902b8667,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_75821984da78,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7487718290a4,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_14f8832f5d54,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_c4da89a69981,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_b4f72f3c6859,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_c52196a8f5e3,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_48ed2bd453e0,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_283f9cbd459a,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_dee3f005545f,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_db67ae6c028b,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_51d25d7ca98a,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_df8a2a501372,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_892a56e9d2b3,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_dcb1490a54aa,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_47afa8f7e955,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_03056e0f8a44,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_36b445038db4,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_5ac22941b144,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_3c5444e33688,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_6b107e4b5801,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_57e72b0c930e,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_caf6891fcd2f,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_e2e1d9e16573,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_1d666df7ef91,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_ab4d8e1bf960,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7e8e3f4b1bdf,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_081214b60ff3,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_8e96f6db2b63,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_a8b1d6e4ebfb,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_3511567e8e3d,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_246766d50c45,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_74cc416a754f,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_ccd2ff4b7b47,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_46c6fe71d592,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_d616dd622d09,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7fa39fb46f1f,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_cecc8619f577,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7869ca34e509,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_79b9371ea050,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_c7a6f329b367,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_3a9b933b6872,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_f904c688cb3f,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_aa250f616eeb,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_8d75ab488ccc,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7f81662e17af,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_7e8aa895f2f9,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_99a05687ba01,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_a1104ef18225,00 - 协作缓冲区,excluded,medium,local_only_or_not_candidate,
src_da604bfea929,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_41aee77a4e0c,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_87e2fa740799,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_f227440c17a4,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_ba369119eb4d,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_97227baafcda,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_b506696f4187,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_01f12313f176,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_3f9330b13bf0,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_68981e350676,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_ca09fe5db68a,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_7d8881f575ff,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_cca0c300760c,00 - 每日笔记,excluded,medium,local_only_or_not_candidate,
src_24eac3669df2,01 - 会话摘要,excluded,medium,local_only_or_not_candidate,
src_4f7e02be9c13,01 - 会话摘要,excluded,medium,local_only_or_not_candidate,
src_1ef4db55953e,01 - 会话摘要,excluded,medium,local_only_or_not_candidate,
src_208c01eb38d1,01 - 会话摘要,excluded,medium,local_only_or_not_candidate,
